date,stato,codice_regione,denominazione_regione,lat,long,h,icu,h+icu,q,p,np,d,dc,T,S,code,region,P,Tper100kP,Sper100kP,h+icuper100kP,icuper100kP,hper100kP,dcper100kP
2020-02-26 18:00:00,b'ITA',104,b'P.A. Trento',46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,3,104,P.A. Trento,541380,0.0,0.554139421478444,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',10,b'Umbria',43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8,10,Umbria,882015,0.0,0.9070140530489844,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',2,"b""Valle d'Aosta""",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,7,2,Valle d'Aosta,125666,0.0,5.570321327964605,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,b'ITA',5,b'Veneto',45.43490485,12.33845213,16,8,24,45,69,27,0,2,71,4900,5,Veneto,4905854,1.4472505704409466,99.8806731712766,0.4892114604307426,0.16307048681024752,0.32614097362049504,0.04076762170256188
2020-02-27 18:00:00,b'ITA',13,b'Abruzzo',42.35122196,13.39843823,1,0,1,0,1,1,0,0,1,33,13,Abruzzo,1311580,0.07624391954741609,2.5160493450647308,0.07624391954741609,0.0,0.07624391954741609,0.0
2020-02-27 18:00:00,b'ITA',17,b'Basilicata',40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,17,Basilicata,562869,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,b'ITA',4,b'P.A. Bolzano',46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,2,4,P.A. Bolzano,533050,0.18759966232060782,0.37519932464121564,0.18759966232060782,0.0,0.18759966232060782,0.0
2020-02-27 18:00:00,b'ITA',18,b'Calabria',38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,14,18,Calabria,1947131,0.0,0.7190065794237779,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,b'ITA',15,b'Campania',40.83956555,14.25084984,2,0,2,1,3,3,0,0,3,10,15,Campania,5801692,0.051709053152080464,0.17236351050693488,0.03447270210138697,0.0,0.03447270210138697,0.0
2020-02-27 18:00:00,b'ITA',8,b'Emilia Romagna',44.49436681,11.3417208,36,6,42,54,96,50,0,1,97,1033,8,Emilia-Romagna,4459477,2.1751429595892073,23.16415131191393,0.9418144773479044,0.13454492533541487,0.8072695520124894,0.02242415422256915
2020-02-27 18:00:00,b'ITA',6,b'Friuli Venezia Giulia',45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,141,6,Friuli Venzia Giulia,1215220,0.0,11.602837346324122,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,b'ITA',12,b'Lazio',41.89277044,12.48366722,0,0,0,0,0,0,3,0,3,552,12,Lazio,5879082,0.051028374838112484,9.389220970212696,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,b'ITA',7,b'Liguria',44.41149315,8.9326992,9,0,9,10,19,8,0,0,19,78,7,Liguria,1550640,1.225300521075169,5.030181086519114,0.5804055099829748,0.0,0.5804055099829748,0.0
2020-02-27 18:00:00,b'ITA',3,b'Lombardia',45.46679409,9.190347404,172,41,213,136,349,100,40,14,403,3320,3,Lombardia,10060574,4.005735656832304,33.00010516298573,2.1171754216011927,0.40753141918145025,1.7096440024197428,0.13915706996439767
2020-02-27 18:00:00,b'ITA',11,b'Marche',43.61675973,13.5188753,2,1,3,0,3,2,0,0,3,46,11,Marche,1525271,0.1966863593420448,3.0158575099113536,0.1966863593420448,0.06556211978068159,0.13112423956136318,0.0
